,Variable,Count
169,Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,352
170,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,662
171,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,727
172,Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,266
173,Carbon Sequestration|CCS|Biomass|Industrial Processes,39
174,Carbon Sequestration|CCS|Fossil,1014
175,Carbon Sequestration|CCS|Fossil|Energy,48
176,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,588
177,Carbon Sequestration|CCS|Fossil|Energy|Supply,885
178,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,651
179,Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,244
180,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,418
181,Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,475
182,Carbon Sequestration|CCS|Fossil|Energy|Supply|Other,88
183,Carbon Sequestration|CCS|Fossil|Industrial Processes,6
184,Carbon Sequestration|CCS|Industrial Processes,673
185,Carbon Sequestration|Direct Air Capture,422
186,Carbon Sequestration|Enhanced Weathering,190
187,Carbon Sequestration|Feedstocks,39
188,Carbon Sequestration|Land Use,783
189,Carbon Sequestration|Land Use|Afforestation,507
190,Carbon Sequestration|Land Use|Biochar,6
191,Carbon Sequestration|Land Use|Soil Carbon Management,6
192,Carbon Sequestration|Other,146
193,Carbon Utilization|CCS|Industry,100
194,Concentration|CH4,410
195,Concentration|CO2,453
196,Concentration|N2O,410
197,Consumption,923
198,Cumulative Capacity|Electricity|Biomass,677
199,Cumulative Capacity|Electricity|Biomass|w/ CCS,825
200,Cumulative Capacity|Electricity|Biomass|w/o CCS,828
201,Cumulative Capacity|Electricity|Coal,677
202,Cumulative Capacity|Electricity|Coal|w/ CCS,824
203,Cumulative Capacity|Electricity|Coal|w/o CCS,828
204,Cumulative Capacity|Electricity|Fossil,677
205,Cumulative Capacity|Electricity|Gas,677
206,Cumulative Capacity|Electricity|Gas|w/ CCS,825
207,Cumulative Capacity|Electricity|Gas|w/o CCS,828
208,Cumulative Capacity|Electricity|Geothermal,411
209,Cumulative Capacity|Electricity|Hydro,828
210,Cumulative Capacity|Electricity|Non-Biomass Renewables,828
211,Cumulative Capacity|Electricity|Nuclear,828
212,Cumulative Capacity|Electricity|Oil,461
213,Cumulative Capacity|Electricity|Oil|w/ CCS,482
214,Cumulative Capacity|Electricity|Oil|w/o CCS,612
215,Cumulative Capacity|Electricity|Other,44
216,Cumulative Capacity|Electricity|Renewables (incl. Biomass),828
217,Cumulative Capacity|Electricity|Solar,639
218,Cumulative Capacity|Electricity|Solar|CSP,746
219,Cumulative Capacity|Electricity|Solar|PV,828
220,Cumulative Capacity|Electricity|Wind,722
221,Cumulative Capacity|Electricity|Wind|Offshore,571
222,Cumulative Capacity|Electricity|Wind|Onshore,612
223,Cumulative Capacity|Gases|Biomass,184
224,Cumulative Capacity|Gases|Biomass|w/o CCS,184
225,Cumulative Capacity|Gases|Coal,184
226,Cumulative Capacity|Gases|Coal|w/o CCS,184
227,Cumulative Capacity|Hydrogen|Biomass,369
228,Cumulative Capacity|Hydrogen|Biomass|w/ CCS,369
229,Cumulative Capacity|Hydrogen|Biomass|w/o CCS,369
230,Cumulative Capacity|Hydrogen|Coal,191
231,Cumulative Capacity|Hydrogen|Coal|w/ CCS,191
232,Cumulative Capacity|Hydrogen|Coal|w/o CCS,191
233,Cumulative Capacity|Hydrogen|Electricity,447
234,Cumulative Capacity|Hydrogen|Gas,270
235,Cumulative Capacity|Hydrogen|Gas|w/ CCS,270
236,Cumulative Capacity|Hydrogen|Gas|w/o CCS,270
237,Cumulative Capacity|Liquids|Biomass,184
238,Cumulative Capacity|Liquids|Biomass|w/ CCS,184
239,Cumulative Capacity|Liquids|Biomass|w/o CCS,184
240,Cumulative Capacity|Liquids|Coal,184
241,Cumulative Capacity|Liquids|Coal|w/ CCS,184
242,Cumulative Capacity|Liquids|Coal|w/o CCS,184
243,Cumulative Capacity|Liquids|Gas,184
244,Cumulative Capacity|Liquids|Gas|w/ CCS,184
245,Cumulative Capacity|Liquids|Gas|w/o CCS,184
246,Cumulative Capacity|Liquids|Oil,184
247,Discount rate|Economy,1
248,Discount rate|Social,4
249,Ecotoxicity|Freshwater|Electricity,15
250,Ecotoxicity|Marine|Electricity,15
251,Efficiency|Electricity|Biomass|w/ CCS,422
252,Efficiency|Electricity|Biomass|w/o CCS,419
253,Efficiency|Electricity|Coal|w/ CCS,422
254,Efficiency|Electricity|Coal|w/o CCS,419
255,Efficiency|Electricity|Gas|w/ CCS,422
256,Efficiency|Electricity|Gas|w/o CCS,419
257,Efficiency|Gases|Biomass|w/o CCS,396
258,Efficiency|Gases|Coal|w/o CCS,396
259,Efficiency|Hydrogen|Biomass|w/ CCS,497
260,Efficiency|Hydrogen|Biomass|w/o CCS,497
261,Efficiency|Hydrogen|Coal|w/ CCS,497
262,Efficiency|Hydrogen|Coal|w/o CCS,497
263,Efficiency|Hydrogen|Electricity,532
264,Efficiency|Hydrogen|Gas|w/ CCS,497
265,Efficiency|Hydrogen|Gas|w/o CCS,466
266,Efficiency|Liquids|Biomass|w/ CCS,504
267,Efficiency|Liquids|Biomass|w/o CCS,507
268,Efficiency|Liquids|Coal|w/ CCS,466
269,Efficiency|Liquids|Coal|w/o CCS,466
270,Efficiency|Liquids|Gas|w/ CCS,254
271,Efficiency|Liquids|Gas|w/o CCS,254
272,Efficiency|Liquids|Oil,212
273,Emissions|BC,991
274,Emissions|BC|AFOLU,692
275,Emissions|BC|AFOLU|Agriculture,45
276,Emissions|BC|AFOLU|Land,25
277,Emissions|BC|Energy,692
278,Emissions|BC|Energy|Demand|Industry,688
279,Emissions|BC|Energy|Demand|Residential and Commercial,606
280,Emissions|BC|Energy|Demand|Residential and Commercial|Commercial,39
281,Emissions|BC|Energy|Demand|Residential and Commercial|Residential,39
282,Emissions|BC|Energy|Demand|Transportation,688
283,Emissions|BC|Energy|Supply,688
284,Emissions|BC|Industrial Processes,25
285,Emissions|BC|Other,312
286,Emissions|BC|Waste,129
287,Emissions|C2F6,90
288,Emissions|CF4,79
289,Emissions|CH4,1202
290,Emissions|CH4|AFOLU,1017
291,Emissions|CH4|AFOLU|Agriculture,549
292,Emissions|CH4|AFOLU|Agriculture|Livestock,463
293,Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation,430
294,Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management,464
295,Emissions|CH4|AFOLU|Agriculture|Rice,430
296,Emissions|CH4|AFOLU|Land,65
297,Emissions|CH4|Energy,886
298,Emissions|CH4|Energy|Demand|Industry,431
299,Emissions|CH4|Energy|Demand|Residential and Commercial,450
300,Emissions|CH4|Energy|Demand|Residential and Commercial|Commercial,39
301,Emissions|CH4|Energy|Demand|Residential and Commercial|Residential,39
302,Emissions|CH4|Energy|Demand|Transportation,431
303,Emissions|CH4|Energy|Supply,797
304,Emissions|CH4|Industrial Processes,65
305,Emissions|CH4|Industrial Processes|Chemicals,39
306,Emissions|CH4|Industrial Processes|Steel,39
307,Emissions|CH4|Other,541
308,Emissions|CH4|Waste,170
309,Emissions|CO,998
310,Emissions|CO2,1202
311,Emissions|CO2|AFOLU,1187
312,Emissions|CO2|AFOLU|Agriculture,20
313,Emissions|CO2|AFOLU|Land,45
314,Emissions|CO2|Energy,948
315,Emissions|CO2|Energy and Industrial Processes,1176
316,Emissions|CO2|Energy|Demand,1155
317,Emissions|CO2|Energy|Demand|AFOFI,460
318,Emissions|CO2|Energy|Demand|Industry,1118
319,Emissions|CO2|Energy|Demand|Industry|Chemicals,30
320,Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,39
321,Emissions|CO2|Energy|Demand|Industry|Steel,39
322,Emissions|CO2|Energy|Demand|Other Sector,365
323,Emissions|CO2|Energy|Demand|Residential and Commercial,954
324,Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial,457
325,Emissions|CO2|Energy|Demand|Residential and Commercial|Residential,457
326,Emissions|CO2|Energy|Demand|Transportation,1060
327,Emissions|CO2|Energy|Demand|Transportation|Aviation,70
328,Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,39
329,Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,39
330,Emissions|CO2|Energy|Demand|Transportation|Freight,108
331,Emissions|CO2|Energy|Demand|Transportation|Maritime,39
332,Emissions|CO2|Energy|Demand|Transportation|Passenger,108
333,Emissions|CO2|Energy|Demand|Transportation|Rail,44
334,Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,39
335,Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger,39
336,Emissions|CO2|Energy|Demand|Transportation|Road,44
337,Emissions|CO2|Energy|Demand|Transportation|Road|Freight,39
338,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,39
339,Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV,123
340,Emissions|CO2|Energy|Supply,1165
341,Emissions|CO2|Energy|Supply|Electricity,1154
342,Emissions|CO2|Energy|Supply|Gases,626
343,Emissions|CO2|Energy|Supply|Heat,563
344,Emissions|CO2|Energy|Supply|Liquids,633
345,Emissions|CO2|Energy|Supply|Other Sector,182
346,Emissions|CO2|Energy|Supply|Solids,561
347,Emissions|CO2|Industrial Processes,923
348,Emissions|CO2|Industrial Processes|Cement,45
349,Emissions|CO2|Industrial Processes|Pulp and Paper,39
350,Emissions|CO2|Industrial Processes|Steel,39
351,Emissions|CO2|Other,344
352,Emissions|CO2|Waste,26
353,Emissions|CO|AFOLU,692
354,Emissions|CO|AFOLU|Agriculture,20
355,Emissions|CO|AFOLU|Land,25
356,Emissions|CO|Energy,692
357,Emissions|CO|Energy|Demand|Industry,680
358,Emissions|CO|Energy|Demand|Residential and Commercial,629
359,Emissions|CO|Energy|Demand|Residential and Commercial|Commercial,39
360,Emissions|CO|Energy|Demand|Residential and Commercial|Residential,39
361,Emissions|CO|Energy|Demand|Transportation,688
362,Emissions|CO|Energy|Supply,688
363,Emissions|CO|Industrial Processes,64
364,Emissions|CO|Other,188
365,Emissions|CO|Waste,129
366,Emissions|F-Gases,1045
367,Emissions|HFC,958
368,Emissions|HFC|HFC125,640
369,Emissions|HFC|HFC134a,640
370,Emissions|HFC|HFC143a,640
371,Emissions|HFC|HFC227ea,640
372,Emissions|HFC|HFC23,640
373,Emissions|HFC|HFC245fa,547
374,Emissions|HFC|HFC32,640
375,Emissions|HFC|HFC43-10,634
376,Emissions|Kyoto Gases,1120
377,Emissions|N2O,1202
378,Emissions|N2O|AFOLU,1017
379,Emissions|N2O|AFOLU|Agriculture,549
380,Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,464
381,Emissions|N2O|AFOLU|Agriculture|Managed Soils,464
382,Emissions|N2O|AFOLU|Land,65
383,Emissions|N2O|Energy,864
384,Emissions|N2O|Energy|Demand|Residential and Commercial|Commercial,39
385,Emissions|N2O|Energy|Demand|Residential and Commercial|Residential,39
386,Emissions|N2O|Energy|Demand|Transportation,165
387,Emissions|N2O|Industrial Processes,192
388,Emissions|N2O|Industrial Processes|Chemicals,39
389,Emissions|N2O|Other,452
390,Emissions|N2O|Waste,170
391,Emissions|NH3,998
392,Emissions|NH3|AFOLU,692
393,Emissions|NH3|AFOLU|Agriculture,65
394,Emissions|NH3|AFOLU|Land,25
395,Emissions|NH3|Energy,655
396,Emissions|NH3|Energy|Demand|Industry,651
397,Emissions|NH3|Energy|Demand|Residential and Commercial,607
398,Emissions|NH3|Energy|Demand|Transportation,651
399,Emissions|NH3|Energy|Supply,651
400,Emissions|NH3|Industrial Processes,25
401,Emissions|NH3|Other,105
402,Emissions|NH3|Waste,125
403,Emissions|NOx,1008
404,Emissions|NOx|AFOLU,684
405,Emissions|NOx|AFOLU|Agriculture,64
406,Emissions|NOx|AFOLU|Land,25
407,Emissions|NOx|Energy,684
408,Emissions|NOx|Energy|Demand|Industry,620
409,Emissions|NOx|Energy|Demand|Residential and Commercial,579
410,Emissions|NOx|Energy|Demand|Residential and Commercial|Commercial,39
411,Emissions|NOx|Energy|Demand|Residential and Commercial|Residential,39
412,Emissions|NOx|Energy|Demand|Transportation,681
413,Emissions|NOx|Energy|Supply,681
414,Emissions|NOx|Industrial Processes,64
415,Emissions|NOx|Other,232
416,Emissions|NOx|Waste,129
417,Emissions|OC,1008
418,Emissions|OC|AFOLU,692
419,Emissions|OC|AFOLU|Agriculture,20
420,Emissions|OC|AFOLU|Land,25
421,Emissions|OC|Energy,692
422,Emissions|OC|Energy|Demand|Industry,688
423,Emissions|OC|Energy|Demand|Residential and Commercial,637
424,Emissions|OC|Energy|Demand|Residential and Commercial|Commercial,39
425,Emissions|OC|Energy|Demand|Residential and Commercial|Residential,39
426,Emissions|OC|Energy|Demand|Transportation,688
427,Emissions|OC|Energy|Supply,688
428,Emissions|OC|Industrial Processes,25
429,Emissions|OC|Other,232
430,Emissions|OC|Waste,129
431,Emissions|PFC,804
432,Emissions|PFC|C2F6,209
433,Emissions|PFC|C6F14,210
434,Emissions|PFC|CF4,392
435,Emissions|PM2.5,15
436,Emissions|SF6,995
437,Emissions|Sulfur,1202
438,Emissions|Sulfur|AFOLU,692
439,Emissions|Sulfur|AFOLU|Agriculture,20
440,Emissions|Sulfur|AFOLU|Land,25
441,Emissions|Sulfur|Energy,692
442,Emissions|Sulfur|Energy|Demand|Industry,688
443,Emissions|Sulfur|Energy|Demand|Residential and Commercial,637
444,Emissions|Sulfur|Energy|Demand|Residential and Commercial|Commercial,39
445,Emissions|Sulfur|Energy|Demand|Residential and Commercial|Residential,39
446,Emissions|Sulfur|Energy|Demand|Transportation,688
447,Emissions|Sulfur|Energy|Supply,688
448,Emissions|Sulfur|Industrial Processes,64
449,Emissions|Sulfur|Other,232
450,Emissions|Sulfur|Waste,129
451,Emissions|VOC,998
452,Emissions|VOC|AFOLU,692
453,Emissions|VOC|AFOLU|Agriculture,20
454,Emissions|VOC|AFOLU|Land,25
455,Emissions|VOC|Energy,692
456,Emissions|VOC|Energy|Demand|Industry,688
457,Emissions|VOC|Energy|Demand|Residential and Commercial,637
458,Emissions|VOC|Energy|Demand|Residential and Commercial|Commercial,39
459,Emissions|VOC|Energy|Demand|Residential and Commercial|Residential,39
460,Emissions|VOC|Energy|Demand|Transportation,688
461,Emissions|VOC|Energy|Supply,688
462,Emissions|VOC|Industrial Processes,64
463,Emissions|VOC|Other,232
464,Emissions|VOC|Waste,129
465,Employment,41
466,Employment|Agriculture,41
467,Employment|Industry,41
468,Employment|Industry|Energy Intensive,41
469,Employment|Service,41
470,Energy Service|Residential and Commercial|Commercial|Floor Space,9
471,Energy Service|Residential and Commercial|Floor Space,12
472,Energy Service|Residential and Commercial|Residential|Floor Space,48
473,Energy Service|Transportation|Aviation,16
474,Energy Service|Transportation|Freight,567
475,Energy Service|Transportation|Freight|Aviation,73
476,Energy Service|Transportation|Freight|International Shipping,89
477,Energy Service|Transportation|Freight|Navigation,89
478,Energy Service|Transportation|Freight|Railways,119
479,Energy Service|Transportation|Freight|Road,205
480,Energy Service|Transportation|Navigation,16
481,Energy Service|Transportation|Passenger,567
482,Energy Service|Transportation|Passenger|Aviation,119
483,Energy Service|Transportation|Passenger|Bicycling and Walking,55
484,Energy Service|Transportation|Passenger|Railways,119
485,Energy Service|Transportation|Passenger|Road,205
486,Energy Service|Transportation|Passenger|Road|Bus,89
487,Energy Service|Transportation|Passenger|Road|LDV,277
488,Energy Service|Transportation|Rail,16
489,Energy Service|Transportation|Road,16
490,Eutrophication|Marine|Electricity,15
491,Expenditure|Medical System|Incremental,41
492,Expenditure|RnD,86
493,Expenditure|household,41
494,Expenditure|household|Energy,41
495,Expenditure|household|Food,147
496,Expenditure|household|Services,41
497,Export|Energy,86
498,Fertilizer Use|Nitrogen,534
499,Fertilizer Use|Phosphorus,190
500,Final Energy,1189
501,Final Energy (excl. feedstocks)|Industry,39
502,Final Energy (excl. feedstocks)|Industry|Electricity,39
503,Final Energy (excl. feedstocks)|Industry|Gases,39
504,Final Energy (excl. feedstocks)|Industry|Gases|Fossil,39
505,Final Energy (excl. feedstocks)|Industry|Heat,39
506,Final Energy (excl. feedstocks)|Industry|Hydrogen,39
507,Final Energy (excl. feedstocks)|Industry|Liquids,39
508,Final Energy (excl. feedstocks)|Industry|Liquids|Bioenergy,39
509,Final Energy (excl. feedstocks)|Industry|Liquids|Fossil,39
510,Final Energy (excl. feedstocks)|Industry|Solids,39
511,Final Energy (excl. feedstocks)|Industry|Solids|Bioenergy,39
512,Final Energy (excl. feedstocks)|Industry|Solids|Fossil,39
513,Final Energy|Electricity,1170
514,Final Energy|Gases,1170
515,Final Energy|Geothermal,486
516,Final Energy|Heat,997
517,Final Energy|Hydrogen,1129
518,Final Energy|Industry,1098
519,Final Energy|Industry|Cement|Electricity,47
520,Final Energy|Industry|Cement|Gases,47
521,Final Energy|Industry|Cement|Heat,47
522,Final Energy|Industry|Cement|Hydrogen,47
523,Final Energy|Industry|Cement|Liquids,47
524,Final Energy|Industry|Cement|Liquids|Fossil,39
525,Final Energy|Industry|Cement|Solids,47
526,Final Energy|Industry|Cement|Solids|Bioenergy,39
527,Final Energy|Industry|Cement|Solids|Fossil,39
528,Final Energy|Industry|Chemicals|Ammonia|Electricity,39
529,Final Energy|Industry|Chemicals|Ammonia|Gases,39
530,Final Energy|Industry|Chemicals|Ammonia|Gases|Fossil,39
531,Final Energy|Industry|Chemicals|Ammonia|Liquids,39
532,Final Energy|Industry|Chemicals|Ammonia|Liquids|Bioenergy,39
533,Final Energy|Industry|Chemicals|Ammonia|Liquids|Fossil,39
534,Final Energy|Industry|Chemicals|Ammonia|Other,39
535,Final Energy|Industry|Chemicals|Ammonia|Solids,39
536,Final Energy|Industry|Chemicals|Ammonia|Solids|Bioenergy,39
537,Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,39
538,Final Energy|Industry|Chemicals|Electricity,47
539,Final Energy|Industry|Chemicals|Gases,47
540,Final Energy|Industry|Chemicals|Heat,8
541,Final Energy|Industry|Chemicals|High value chemicals|Electricity,39
542,Final Energy|Industry|Chemicals|High value chemicals|Gases,39
543,Final Energy|Industry|Chemicals|High value chemicals|Gases|Fossil,39
544,Final Energy|Industry|Chemicals|High value chemicals|Liquids,39
545,Final Energy|Industry|Chemicals|High value chemicals|Liquids|Bioenergy,39
546,Final Energy|Industry|Chemicals|High value chemicals|Liquids|Fossil,39
