,Variable,Count
1132,Water Consumption|Electricity|Oil|w/ CCS,108
1133,Water Consumption|Electricity|Oil|w/o CCS,205
1134,Water Consumption|Electricity|Once Through,348
1135,Water Consumption|Electricity|Other,254
1136,Water Consumption|Electricity|Sea Cooling,340
1137,Water Consumption|Electricity|Solar,348
1138,Water Consumption|Electricity|Solar|CSP,348
1139,Water Consumption|Electricity|Solar|PV,348
1140,Water Consumption|Electricity|Wet Tower,348
1141,Water Consumption|Electricity|Wind,303
1142,Water Consumption|Extraction,184
1143,Water Consumption|Extraction|Coal,184
1144,Water Consumption|Extraction|Gas,184
1145,Water Consumption|Extraction|Oil,184
1146,Water Consumption|Extraction|Uranium,184
1147,Water Consumption|Gases,184
1148,Water Consumption|Gases|Biomass,184
1149,Water Consumption|Gases|Coal,184
1150,Water Consumption|Heat,184
1151,Water Consumption|Heat|Biomass,184
1152,Water Consumption|Heat|Coal,184
1153,Water Consumption|Heat|Gas,184
1154,Water Consumption|Heat|Geothermal,184
1155,Water Consumption|Heat|Oil,184
1156,Water Consumption|Heat|Other,184
1157,Water Consumption|Hydrogen,184
1158,Water Consumption|Hydrogen|Biomass,184
1159,Water Consumption|Hydrogen|Biomass|w/ CCS,184
1160,Water Consumption|Hydrogen|Biomass|w/o CCS,184
1161,Water Consumption|Hydrogen|Coal,184
1162,Water Consumption|Hydrogen|Coal|w/ CCS,184
1163,Water Consumption|Hydrogen|Coal|w/o CCS,184
1164,Water Consumption|Hydrogen|Electricity,184
1165,Water Consumption|Hydrogen|Fossil,184
1166,Water Consumption|Hydrogen|Fossil|w/ CCS,184
1167,Water Consumption|Hydrogen|Fossil|w/o CCS,184
1168,Water Consumption|Hydrogen|Gas,184
1169,Water Consumption|Hydrogen|Gas|w/ CCS,184
1170,Water Consumption|Hydrogen|Gas|w/o CCS,184
1171,Water Consumption|Industrial Water,110
1172,Water Consumption|Irrigation,268
1173,Water Consumption|Liquids,184
1174,Water Consumption|Liquids|Biomass,184
1175,Water Consumption|Liquids|Biomass|w/ CCS,184
1176,Water Consumption|Liquids|Biomass|w/o CCS,184
1177,Water Consumption|Liquids|Coal,184
1178,Water Consumption|Liquids|Coal|w/ CCS,184
1179,Water Consumption|Liquids|Coal|w/o CCS,184
1180,Water Consumption|Liquids|Fossil,184
1181,Water Consumption|Liquids|Fossil|w/ CCS,184
1182,Water Consumption|Liquids|Fossil|w/o CCS,184
1183,Water Consumption|Liquids|Gas,184
1184,Water Consumption|Liquids|Gas|w/ CCS,184
1185,Water Consumption|Liquids|Gas|w/o CCS,184
1186,Water Consumption|Liquids|Oil,184
1187,Water Consumption|Municipal Water,110
1188,Water Withdrawal,350
1189,Water Withdrawal|Electricity,398
1190,Water Withdrawal|Electricity|Biomass,389
1191,Water Withdrawal|Electricity|Biomass|w/ CCS,386
1192,Water Withdrawal|Electricity|Biomass|w/o CCS,389
1193,Water Withdrawal|Electricity|Coal,389
1194,Water Withdrawal|Electricity|Coal|w/ CCS,386
1195,Water Withdrawal|Electricity|Coal|w/o CCS,389
1196,Water Withdrawal|Electricity|Cooling Pond,164
1197,Water Withdrawal|Electricity|Dry Cooling,348
1198,Water Withdrawal|Electricity|Fossil,205
1199,Water Withdrawal|Electricity|Fossil|w/ CCS,386
1200,Water Withdrawal|Electricity|Fossil|w/o CCS,389
1201,Water Withdrawal|Electricity|Gas,389
1202,Water Withdrawal|Electricity|Gas|w/ CCS,386
1203,Water Withdrawal|Electricity|Gas|w/o CCS,389
1204,Water Withdrawal|Electricity|Geothermal,264
1205,Water Withdrawal|Electricity|Hydro,303
1206,Water Withdrawal|Electricity|Non-Biomass Renewables,389
1207,Water Withdrawal|Electricity|Nuclear,389
1208,Water Withdrawal|Electricity|Ocean,70
1209,Water Withdrawal|Electricity|Oil,389
1210,Water Withdrawal|Electricity|Oil|w/ CCS,116
1211,Water Withdrawal|Electricity|Oil|w/o CCS,197
1212,Water Withdrawal|Electricity|Once Through,348
1213,Water Withdrawal|Electricity|Other,254
1214,Water Withdrawal|Electricity|Sea Cooling,340
1215,Water Withdrawal|Electricity|Solar,348
1216,Water Withdrawal|Electricity|Solar|CSP,348
1217,Water Withdrawal|Electricity|Solar|PV,348
1218,Water Withdrawal|Electricity|Wet Tower,348
1219,Water Withdrawal|Electricity|Wind,303
1220,Water Withdrawal|Extraction,184
1221,Water Withdrawal|Extraction|Coal,184
1222,Water Withdrawal|Extraction|Gas,184
1223,Water Withdrawal|Extraction|Oil,184
1224,Water Withdrawal|Extraction|Uranium,184
1225,Water Withdrawal|Gases,184
1226,Water Withdrawal|Gases|Biomass,184
1227,Water Withdrawal|Gases|Coal,184
1228,Water Withdrawal|Heat,184
1229,Water Withdrawal|Heat|Biomass,184
1230,Water Withdrawal|Heat|Coal,184
1231,Water Withdrawal|Heat|Gas,184
1232,Water Withdrawal|Heat|Geothermal,184
1233,Water Withdrawal|Heat|Oil,184
1234,Water Withdrawal|Heat|Other,184
1235,Water Withdrawal|Hydrogen,184
1236,Water Withdrawal|Hydrogen|Biomass,184
1237,Water Withdrawal|Hydrogen|Biomass|w/ CCS,184
1238,Water Withdrawal|Hydrogen|Biomass|w/o CCS,184
1239,Water Withdrawal|Hydrogen|Coal,184
1240,Water Withdrawal|Hydrogen|Coal|w/ CCS,184
1241,Water Withdrawal|Hydrogen|Coal|w/o CCS,184
1242,Water Withdrawal|Hydrogen|Electricity,184
1243,Water Withdrawal|Hydrogen|Fossil,184
1244,Water Withdrawal|Hydrogen|Fossil|w/ CCS,184
1245,Water Withdrawal|Hydrogen|Fossil|w/o CCS,184
1246,Water Withdrawal|Hydrogen|Gas,184
1247,Water Withdrawal|Hydrogen|Gas|w/ CCS,184
1248,Water Withdrawal|Hydrogen|Gas|w/o CCS,184
1249,Water Withdrawal|Industrial Water,110
1250,Water Withdrawal|Irrigation,546
1251,Water Withdrawal|Liquids,184
1252,Water Withdrawal|Liquids|Biomass,184
1253,Water Withdrawal|Liquids|Biomass|w/ CCS,184
1254,Water Withdrawal|Liquids|Biomass|w/o CCS,184
1255,Water Withdrawal|Liquids|Coal,184
1256,Water Withdrawal|Liquids|Coal|w/ CCS,184
1257,Water Withdrawal|Liquids|Coal|w/o CCS,184
1258,Water Withdrawal|Liquids|Fossil,184
1259,Water Withdrawal|Liquids|Fossil|w/ CCS,184
1260,Water Withdrawal|Liquids|Fossil|w/o CCS,184
1261,Water Withdrawal|Liquids|Gas,184
1262,Water Withdrawal|Liquids|Gas|w/ CCS,184
1263,Water Withdrawal|Liquids|Gas|w/o CCS,184
1264,Water Withdrawal|Liquids|Oil,184
1265,Water Withdrawal|Municipal Water,110
1266,Yield|Bioenergy|2nd generation,28
1267,Yield|Cereal,447
1268,Yield|Oilcrops,350
1269,Yield|Sugarcrops,385
1270,Primary Energy|Wind+Solar,1065
